,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,image
755,Lenovo,ThinkBook 15 21JF002CIN Laptop,38500,69.32352941,7th Gen AMD Ryzen 3 7330U,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,AMD Radeon AMD,15.6,1920,1080,DOS OS,1,https://cdn1.smartprix.com/rx-iKed74J4n-w1200-h1200/Ked74J4n.jpg
756,MSI,Thin GF63 11SC-1477IN Gaming Laptop,47990,67.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,2,https://th.bing.com/th/id/R.4b1738106f86b9207db7fc97d492b896?rik=zEVI8%2fwJWT0bJA&riu=http%3a%2f%2fcdn.shopify.com%2fs%2ffiles%2f1%2f0513%2f8205%2f9159%2fproducts%2fmsiGF63Thin11SCGamingLaptop_i5-11thGen_GTX1650MaxQGDDR64GB_1.jpg%3fv%3d1647327999&ehk=duyXiZlRBTpUAepzLZULiKtLhlkHs4oeWuM5tnIG1Ts%3d&risl=&pid=ImgRaw&r=0
757,Lenovo,ThinkPad E14 21JRS00Y00 Laptop,44990,60.0,7th Gen AMD Ryzen 3 7330U,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,14.0,1920,1200,Windows 11 OS,1,https://sm.pcmag.com/t/pcmag_au/review/l/lenovo-thi/lenovo-thinkpad-e14-gen-2_c1em.3840.jpg
758,MSI,Katana GF66 12UCOK 2023 Gaming Laptop,69990,65.0,12th Gen Intel Core i5 12450H ,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,2,https://cdn1.smartprix.com/rx-iAcxxGHZE-w1200-h1200/AcxxGHZE.jpg
759,Asus,Vivobook 15 2023 X1504VA-NJ543WS Laptop,61990,64.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iSKYtrRrg-w1200-h1200/SKYtrRrg.jpg
760,Asus,Vivobook 16X 2023 K3605ZU-MB541WS Laptop,89990,75.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,6GB NVIDIA Geforce RTX 4050,16.0,1920,1200,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iOS7dujUa-w1200-h1200/OS7dujUa.jpg
761,Asus,Vivobook 15 OLED 2023 X1505VAU-LK543WS Laptop,65990,60.0,13th Gen ‎Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.eWFe2AN55TZla8ZUv2brdgHaEZ?rs=1&pid=ImgDetMain
762,Lenovo,ThinkPad E14 21JRS00T00 Laptop,58990,62.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,14.0,1920,1200,Windows 11 OS,1,https://sm.pcmag.com/t/pcmag_au/review/l/lenovo-thi/lenovo-thinkpad-e14-gen-2_c1em.3840.jpg
763,HP,Envy x360 15-fe0028TU Laptop,94990,66.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,15.6,1920,1080,Windows 11 OS,1,https://rukminim1.flixcart.com/image/600/600/xif0q/computer/d/9/j/-original-imagrgykugrfnhv4.jpeg?q=70
764,HP,Envy x360 15-fh0019AU Laptop,86490,70.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16GB,LPDDR5,512GB,SSD,AMD Radeon AMD,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.ihuZDeCGyMDOvDW2iBJNsgHaG8?rs=1&pid=ImgDetMain
